A Plague Tale: Innocence, 14 May, 2019, CDN$12.49, On sale
Age of Empires IV, 28 Oct, 2021, CDN$79.99, Regular price
BIOMUTANT, 25 May, 2021, CDN$29.99, On sale
Battlefield™ 2042, 19 Nov, 2021, CDN$79.99, Regular price
CS:GO - Operation Riptide, 21 Sep, 2021, CDN$18.99, Regular price
Century - Behemoth Founder's Pack, 2 Dec, 2021, CDN$74.29, Regular price
Chorus, 3 Dec, 2021, CDN$45.49, Regular price
Destiny 2: Bungie 30th Anniversary Pack, 7 Dec, 2021, CDN$31.99, Regular price
Destiny 2: The Witch Queen Deluxe + Bungie 30th Anniversary Bundle, 22 Feb, 2022, CDN$124.99, Regular price
ELDEN RING, 24 Feb, 2022, CDN$79.99, Regular price
ELDEN RING, 24 Feb, 2022, CDN$79.99, Regular price
Expansion - Hearts of Iron IV: No Step Back, 23 Nov, 2021, CDN$22.79, Regular price
FINAL FANTASY XIV Online, 18 Feb, 2014, CDN$24.99, Regular price
FINAL FANTASY XIV: Endwalker, 7 Dec, 2021, CDN$49.99, Regular price
FINAL FANTASY XIV: Endwalker, 7 Dec, 2021, CDN$49.99, Regular price
Farming Simulator 22 - Year 1 Bundle, , CDN$106.68, Regular price
Farming Simulator 22, 22 Nov, 2021, CDN$59.99, Regular price
Fights in Tight Spaces, 2 Dec, 2021, CDN$26.09, On sale
Forza Horizon 5, 8 Nov, 2021, CDN$79.99, Regular price
Gloomhaven, 20 Oct, 2021, CDN$31.99, On sale
Grand Theft Auto V: Premium Edition, , CDN$29.98, Regular price
Halo Infinite (Campaign), Dec, 8 2021, CDN$79.99, Regular price
ICARUS, 3 Dec, 2021, CDN$30.59, On sale
Inscryption, 19 Oct, 2021, CDN$22.79, Regular price
It Takes Two, 26 Mar, 2021, CDN$54.99, Regular price
Jurassic World Evolution 2, 9 Nov, 2021, CDN$68.99, Regular price
New World, 28 Sep, 2021, CDN$49.99, Regular price
No Man's Sky, 12 Aug, 2016, CDN$33.24, On sale
Outward, 26 Mar, 2019, CDN$14.99, On sale
Pathfinder: Kingmaker - Imperial Edition Bundle, , CDN$21.85, On sale
Phasmophobia, 18 Sep, 2020, CDN$15.49, Regular price
Project Zomboid, 8 Nov, 2013, CDN$16.99, Regular price
Propnight, 1 Dec, 2021, CDN$22.79, Regular price
Red Dead Redemption 2, 5 Dec, 2019, CDN$79.99, Regular price
STAR WARS™: The Old Republic™ - Cartel Coins, 21 Jul, 2020, CDN$4.99, Regular price
STAR WARS™: The Old Republic™ - Cartel Coins, 21 Jul, 2020, CDN$4.99, Regular price
STAR WARS™: The Old Republic™ - Cartel Coins, 21 Jul, 2020, CDN$4.99, Regular price
STAR WARS™: The Old Republic™ - Cartel Coins, 21 Jul, 2020, CDN$4.99, Regular price
STAR WARS™: The Old Republic™ - Cartel Coins, 21 Jul, 2020, CDN$4.99, Regular price
STAR WARS™: The Old Republic™ - Cartel Coins, 21 Jul, 2020, CDN$4.99, Regular price
Satisfactory, 8 Jun, 2020, CDN$33.99, Regular price
Stardew Valley, 26 Feb, 2016, CDN$16.99, Regular price
Teardown, 29 Oct, 2020, CDN$18.23, On sale
The Elder Scrolls V: Skyrim Anniversary Upgrade, 11 Nov, 2021, CDN$26.99, Regular price
The Forest, 30 Apr, 2018, CDN$22.79, Regular price
Titan Quest: Eternal Embers, 3 Dec, 2021, CDN$23.39, On sale
Valheim, 2 Feb, 2021, CDN$22.79, Regular price
Valve Index VR Kit, 28 Jun, 2019, CDN$1,319.00, Regular price
Wartales, 1 Dec, 2021, CDN$35.99, On sale
WorldBox - God Simulator, 2 Dec, 2021, CDN$22.79, Regular price
